"list_id","n_genes","gene","in_locked_panel_152","origin_six","chromosome","pseudoautosomal","par_region","in_primary_140","max_detection_pct","n_atlases_evaluable","n_annotation_rows"
"sensitivity_143",143,"MYC",TRUE,TRUE,"chr8",FALSE,NA,TRUE,54.6719,3,1
"sensitivity_143",143,"IL6",TRUE,TRUE,"chr7",FALSE,NA,TRUE,12.8697,3,1
"sensitivity_143",143,"SOCS3",TRUE,TRUE,"chr17",FALSE,NA,TRUE,84.6229,3,1
"sensitivity_143",143,"ACVR1B",TRUE,FALSE,"chr12",FALSE,NA,TRUE,26.6764,3,1
"sensitivity_143",143,"ACVRL1",TRUE,FALSE,"chr12",FALSE,NA,TRUE,57.9628,3,1
"sensitivity_143",143,"BAK1",TRUE,FALSE,"chr6",FALSE,NA,TRUE,32.1924,3,1
"sensitivity_143",143,"CBL",TRUE,FALSE,"chr11",FALSE,NA,TRUE,21.4011,3,1
"sensitivity_143",143,"CCL7",TRUE,FALSE,"chr17",FALSE,NA,TRUE,8.7134,2,1
"sensitivity_143",143,"CCR1",TRUE,FALSE,"chr3",FALSE,NA,TRUE,34.8073,3,1
"sensitivity_143",143,"CD14",TRUE,FALSE,"chr5",FALSE,NA,TRUE,74.3282,3,1
"sensitivity_143",143,"CD36",TRUE,FALSE,"chr7",FALSE,NA,TRUE,45.2889,3,1
"sensitivity_143",143,"CD38",TRUE,FALSE,"chr4",FALSE,NA,TRUE,22.9167,3,1
"sensitivity_143",143,"CD44",TRUE,FALSE,"chr11",FALSE,NA,TRUE,85.4167,3,1
"sensitivity_143",143,"CD9",TRUE,FALSE,"chr12",FALSE,NA,TRUE,93.75,3,1
"sensitivity_143",143,"CNTFR",TRUE,FALSE,"chr9",FALSE,NA,TRUE,1.0025,3,1
"sensitivity_143",143,"CSF1",TRUE,FALSE,"chr1",FALSE,NA,TRUE,19.059,3,1
"sensitivity_143",143,"CSF2",TRUE,FALSE,"chr5",FALSE,NA,TRUE,1.1034,2,1
"sensitivity_143",143,"CSF2RA",TRUE,FALSE,"chrX/chrY",TRUE,"PAR1",FALSE,44.0961,3,2
"sensitivity_143",143,"CSF2RB",TRUE,FALSE,"chr22",FALSE,NA,TRUE,25.1994,3,1
"sensitivity_143",143,"CSF3R",TRUE,FALSE,"chr1",FALSE,NA,TRUE,36.3599,3,1
"sensitivity_143",143,"CXCL1",TRUE,FALSE,"chr4",FALSE,NA,TRUE,31.4803,3,1
"sensitivity_143",143,"CXCL10",TRUE,FALSE,"chr4",FALSE,NA,TRUE,14.7606,3,1
"sensitivity_143",143,"CXCL11",TRUE,FALSE,"chr4",FALSE,NA,TRUE,7.0264,3,1
"sensitivity_143",143,"CXCL13",TRUE,FALSE,"chr4",FALSE,NA,TRUE,15.589,3,1
"sensitivity_143",143,"CXCL3",TRUE,FALSE,"chr4",FALSE,NA,TRUE,44.0017,3,1
"sensitivity_143",143,"CXCL9",TRUE,FALSE,"chr4",FALSE,NA,TRUE,14.4947,3,1
"sensitivity_143",143,"EBI3",TRUE,FALSE,"chr19",FALSE,NA,TRUE,8.7197,3,1
"sensitivity_143",143,"FAS",TRUE,FALSE,"chr10",FALSE,NA,TRUE,21.3049,3,1
"sensitivity_143",143,"GRB2",TRUE,FALSE,"chr17",FALSE,NA,TRUE,57.7565,3,1
"sensitivity_143",143,"HAX1",TRUE,FALSE,"chr1",FALSE,NA,TRUE,55.3386,3,1
"sensitivity_143",143,"IFNGR1",TRUE,FALSE,"chr6",FALSE,NA,TRUE,74.2264,3,1
"sensitivity_143",143,"IFNGR2",TRUE,FALSE,"chr21",FALSE,NA,TRUE,60.5456,3,1
"sensitivity_143",143,"IL10RB",TRUE,FALSE,"chr21",FALSE,NA,TRUE,38.4161,3,1
"sensitivity_143",143,"IL12RB1",TRUE,FALSE,"chr19",FALSE,NA,TRUE,11.0318,3,1
"sensitivity_143",143,"IL15RA",TRUE,FALSE,"chr10",FALSE,NA,TRUE,25.2693,3,1
"sensitivity_143",143,"IL17RA",TRUE,FALSE,"chr22",FALSE,NA,TRUE,23.1474,3,1
"sensitivity_143",143,"IL17RB",TRUE,FALSE,"chr3",FALSE,NA,TRUE,16.6667,3,1
"sensitivity_143",143,"IL18R1",TRUE,FALSE,"chr2",FALSE,NA,TRUE,14.5833,3,1
"sensitivity_143",143,"IL1B",TRUE,FALSE,"chr2",FALSE,NA,TRUE,48.0053,3,1
"sensitivity_143",143,"IL1R1",TRUE,FALSE,"chr2",FALSE,NA,TRUE,36.1998,3,1
"sensitivity_143",143,"IL1R2",TRUE,FALSE,"chr2",FALSE,NA,TRUE,13.0438,3,1
"sensitivity_143",143,"IL2RA",TRUE,FALSE,"chr10",FALSE,NA,TRUE,11.2316,3,1
"sensitivity_143",143,"IL3RA",TRUE,FALSE,"chrX/chrY",TRUE,"PAR1",FALSE,61.097,3,2
"sensitivity_143",143,"IL4R",TRUE,FALSE,"chr16",FALSE,NA,TRUE,38.5309,3,1
"sensitivity_143",143,"IL6ST",TRUE,FALSE,"chr5",FALSE,NA,TRUE,83.9177,3,1
"sensitivity_143",143,"IL7",TRUE,FALSE,"chr8",FALSE,NA,TRUE,11.6176,3,1
"sensitivity_143",143,"IL9R",TRUE,FALSE,"chrX/chrY",TRUE,"PAR2",FALSE,4.1667,2,2
"sensitivity_143",143,"INHBE",TRUE,FALSE,"chr12",FALSE,NA,TRUE,10.2456,2,1
"sensitivity_143",143,"IRF9",TRUE,FALSE,"chr14",FALSE,NA,TRUE,19.8724,3,1
"sensitivity_143",143,"ITGA4",TRUE,FALSE,"chr2",FALSE,NA,TRUE,17.9886,3,1
"sensitivity_143",143,"ITGB3",TRUE,FALSE,"chr17",FALSE,NA,TRUE,5.2358,2,1
"sensitivity_143",143,"JUN",TRUE,FALSE,"chr1",FALSE,NA,TRUE,85.4654,3,1
"sensitivity_143",143,"LEPR",TRUE,FALSE,"chr1",FALSE,NA,TRUE,31.8315,3,1
"sensitivity_143",143,"LTB",TRUE,FALSE,"chr6",FALSE,NA,TRUE,79.9082,3,1
"sensitivity_143",143,"LTBR",TRUE,FALSE,"chr12",FALSE,NA,TRUE,53.2438,3,1
"sensitivity_143",143,"MAP3K8",TRUE,FALSE,"chr10",FALSE,NA,TRUE,42.0213,3,1
"sensitivity_143",143,"OSMR",TRUE,FALSE,"chr5",FALSE,NA,TRUE,42.0764,3,1
"sensitivity_143",143,"PDGFC",TRUE,FALSE,"chr4",FALSE,NA,TRUE,24.8824,3,1
"sensitivity_143",143,"PF4",TRUE,FALSE,"chr4",FALSE,NA,TRUE,7.6517,3,1
"sensitivity_143",143,"PIK3R5",TRUE,FALSE,"chr17",FALSE,NA,TRUE,14.0896,3,1
"sensitivity_143",143,"PLA2G2A",TRUE,FALSE,"chr1",FALSE,NA,TRUE,34.7442,3,1
"sensitivity_143",143,"PTPN1",TRUE,FALSE,"chr20",FALSE,NA,TRUE,31.7826,3,1
"sensitivity_143",143,"PTPN11",TRUE,FALSE,"chr12",FALSE,NA,TRUE,37.8816,3,1
"sensitivity_143",143,"PTPN2",TRUE,FALSE,"chr18",FALSE,NA,TRUE,38.5059,3,1
"sensitivity_143",143,"REG1A",TRUE,FALSE,"chr2",FALSE,NA,TRUE,64.3487,3,1
"sensitivity_143",143,"SOCS1",TRUE,FALSE,"chr16",FALSE,NA,TRUE,75,3,1
"sensitivity_143",143,"STAM2",TRUE,FALSE,"chr2",FALSE,NA,TRUE,20.4556,3,1
"sensitivity_143",143,"STAT2",TRUE,FALSE,"chr12",FALSE,NA,TRUE,31.7477,3,1
"sensitivity_143",143,"STAT3",TRUE,FALSE,"chr17",FALSE,NA,TRUE,74.4956,3,1
"sensitivity_143",143,"TGFB1",TRUE,FALSE,"chr19",FALSE,NA,TRUE,51.2751,3,1
"sensitivity_143",143,"TLR2",TRUE,FALSE,"chr4",FALSE,NA,TRUE,41.8567,3,1
"sensitivity_143",143,"TNF",TRUE,FALSE,"chr6",FALSE,NA,TRUE,18.0851,3,1
"sensitivity_143",143,"TNFRSF12A",TRUE,FALSE,"chr16",FALSE,NA,TRUE,73.8865,3,1
"sensitivity_143",143,"TNFRSF1A",TRUE,FALSE,"chr12",FALSE,NA,TRUE,79.3536,3,1
"sensitivity_143",143,"TNFRSF1B",TRUE,FALSE,"chr1",FALSE,NA,TRUE,44.0554,3,1
"sensitivity_143",143,"TNFRSF21",TRUE,FALSE,"chr6",FALSE,NA,TRUE,47.834,3,1
"sensitivity_143",143,"ABCA1",TRUE,FALSE,"chr9",FALSE,NA,TRUE,33.561,3,1
"sensitivity_143",143,"AKAP12",TRUE,FALSE,"chr6",FALSE,NA,TRUE,54.2477,3,1
"sensitivity_143",143,"BCL2L1",TRUE,FALSE,"chr20",FALSE,NA,TRUE,59.1079,3,1
"sensitivity_143",143,"BCL6",TRUE,FALSE,"chr3",FALSE,NA,TRUE,24.4729,3,1
"sensitivity_143",143,"CCND1",TRUE,FALSE,"chr11",FALSE,NA,TRUE,66.165,3,1
"sensitivity_143",143,"CCND3",TRUE,FALSE,"chr6",FALSE,NA,TRUE,49.0108,3,1
"sensitivity_143",143,"CDK4",TRUE,FALSE,"chr12",FALSE,NA,TRUE,51.4662,3,1
"sensitivity_143",143,"CDKN1A",TRUE,FALSE,"chr6",FALSE,NA,TRUE,60.2742,3,1
"sensitivity_143",143,"CDKN1B",TRUE,FALSE,"chr12",FALSE,NA,TRUE,39.679,3,1
"sensitivity_143",143,"CFLAR",TRUE,FALSE,"chr2",FALSE,NA,TRUE,73.2223,3,1
"sensitivity_143",143,"CISH",TRUE,FALSE,"chr3",FALSE,NA,TRUE,13.2533,3,1
"sensitivity_143",143,"COPS5",TRUE,FALSE,"chr8",FALSE,NA,TRUE,49.3738,3,1
"sensitivity_143",143,"CXCL8",TRUE,FALSE,"chr4",FALSE,NA,TRUE,49.1572,3,1
"sensitivity_143",143,"DDIT3",TRUE,FALSE,"chr12",FALSE,NA,TRUE,42.6344,3,1
